Welcome to Ubuntu 14.04.4 LTS (GNU/Linux 4.2.0-27-generic i686)

 * Documentation:  https://help.ubuntu.com/

21 packages can be updated.
21 updates are security updates.

*** System restart required ***
Last login: Tue May 17 10:46:57 2016 from 192.168.188.1

ps -ef

 
 exit

naval@ubuntu:~$ ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
root       158     2  0 May15 ?        00:00:00 [scsi_tmf_20]
root       159     2  0 May15 ?        00:00:00 [scsi_eh_21]
root       160     2  0 May15 ?        00:00:00 [scsi_tmf_21]
root       161     2  0 May15 ?        00:00:00 [scsi_eh_22]
root       162     2  0 May15 ?        00:00:00 [scsi_tmf_22]
root       163     2  0 May15 ?        00:00:00 [scsi_eh_23]
root       164     2  0 May15 ?        00:00:00 [scsi_tmf_23]
root       165     2  0 May15 ?        00:00:00 [scsi_eh_24]
root       166     2  0 May15 ?        00:00:00 [scsi_tmf_24]
root       167     2  0 May15 ?        00:00:00 [scsi_eh_25]
root       168     2  0 May15 ?        00:00:00 [scsi_tmf_25]
root       169     2  0 May15 ?        00:00:00 [scsi_eh_26]
root       170     2  0 May15 ?        00:00:00 [scsi_tmf_26]
root       171     2  0 May15 ?        00:00:00 [scsi_eh_27]
root       172     2  0 May15 ?        00:00:00 [scsi_tmf_27]
root       173     2  0 May15 ?        00:00:00 [scsi_eh_28]
root       174     2  0 May15 ?        00:00:00 [scsi_tmf_28]
root       175     2  0 May15 ?        00:00:00 [scsi_eh_29]
root       176     2  0 May15 ?        00:00:00 [scsi_tmf_29]
root       177     2  0 May15 ?        00:00:00 [scsi_eh_30]
root       178     2  0 May15 ?        00:00:00 [scsi_tmf_30]
root       179     2  0 May15 ?        00:00:00 [scsi_eh_31]
root       180     2  0 May15 ?        00:00:00 [scsi_tmf_31]
root       207     2  0 May15 ?        00:00:00 [scsi_eh_32]
root       208     2  0 May15 ?        00:00:00 [scsi_tmf_32]
root       214     2  0 May15 ?        00:00:04 [kworker/0:1H]
root       223     2  0 May15 ?        00:00:08 [jbd2/sda1-8]
root       224     2  0 May15 ?        00:00:00 [ext4-rsv-conver]
root       434     1  0 May15 ?        00:00:00 upstart-file-bridge --daemon
message+   438     1  0 May15 ?        00:00:09 dbus-daemon --system --fork
syslog     460     1  0 May15 ?        00:00:02 rsyslogd
root       469     1  0 May15 ?        00:00:00 /usr/sbin/bluetoothd
avahi      475     1  0 May15 ?        00:00:24 avahi-daemon: running [ubuntu-2.
avahi      476   475  0 May15 ?        00:00:00 avahi-daemon: chroot helper
root       498     2  0 May15 ?        00:00:00 [krfcommd]
root       510     2  0 May15 ?        00:00:00 [ttm_swap]
root       647     1  0 May15 ?        00:00:00 upstart-socket-bridge --daemon
root       687     1  0 May15 ?        00:00:00 /usr/sbin/ModemManager
root       748     1  0 May15 ?        00:00:49 NetworkManager
root       818     1  0 May15 ?        00:00:09 /usr/lib/policykit-1/polkitd --n
nobody     836   748  0 May15 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --
root      1060     1  0 May15 ?        00:00:00 /usr/sbin/cups-browsed
root      2871     1  0 May15 ?        00:04:06 /usr/bin/vmtoolsd
root      2973     1  0 May15 ?        00:00:00 lightdm
root      2982  2973  0 May15 tty7     00:04:07 /usr/bin/X -core :0 -seat seat0 
root      2985     1  0 May15 ?        00:00:01 /usr/lib/accountsservice/account
root      3006     2  0 May15 ?        00:00:00 [kauditd]
root      3124     1  0 May15 tty4     00:00:00 /sbin/getty -8 38400 tty4
root      3130     1  0 May15 tty5     00:00:00 /sbin/getty -8 38400 tty5
root      3131     1  0 May15 ?        00:00:14 thermald --no-daemon --dbus-enab
root      3143     1  0 May15 tty2     00:00:00 /sbin/getty -8 38400 tty2
root      3144     1  0 May15 tty3     00:00:00 /sbin/getty -8 38400 tty3
root      3147     1  0 May15 tty6     00:00:00 /sbin/getty -8 38400 tty6
root      3170     1  0 May15 ?        00:00:00 acpid -c /etc/acpi/events -s /va
root      3198     1  0 May15 ?        00:00:00 cron
kernoops  3204     1  0 May15 ?        00:00:03 /usr/sbin/kerneloops
root      3272     1  0 May15 tty1     00:00:00 /sbin/getty -8 38400 tty1
whoopsie  3278     1  0 May15 ?        00:00:01 whoopsie
root      3284  2973  0 May15 ?        00:00:00 lightdm --session-child 12 19
root      3315     1  0 May15 ?        00:00:00 /usr/lib/upower/upowerd
rtkit     3349     1  0 May15 ?        00:00:03 /usr/lib/rtkit/rtkit-daemon
colord    3560     1  0 May15 ?        00:00:00 /usr/lib/colord/colord
naval     3848     1  0 May15 ?        00:00:01 /usr/bin/gnome-keyring-daemon --
naval     3851  3284  0 May15 ?        00:00:00 init --user
naval     3939  3851  0 May15 ?        00:00:06 dbus-daemon --fork --session --a
naval     3951  3851  0 May15 ?        00:00:00 upstart-event-bridge
naval     3964  3851  0 May15 ?        00:00:00 /usr/lib/i386-linux-gnu/hud/wind
naval     3973  3851  0 May15 ?        00:00:01 upstart-dbus-bridge --daemon --s
naval     3974  3851  0 May15 ?        00:00:00 upstart-dbus-bridge --daemon --s
naval     3975  3851  0 May15 ?        00:00:00 upstart-file-bridge --daemon --u
naval     3990  3851  0 May15 ?        00:00:06 /usr/bin/ibus-daemon --daemonize
naval     4003  3851  0 May15 ?        00:00:00 /usr/lib/dconf/dconf-service
naval     4029  3851  0 May15 ?        00:00:03 /usr/lib/i386-linux-gnu/bamf/bam
naval     4031  3851  0 May15 ?        00:00:00 /usr/lib/i386-linux-gnu/gconf/gc
naval     4045  3851  0 May15 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus
naval     4049  4045  0 May15 ?        00:00:00 /bin/dbus-daemon --config-file=/
naval     4052  3851  0 May15 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-re
naval     4058  3851  0 May15 ?        00:00:00 /usr/lib/gvfs/gvfsd
naval     4063  3851  0 May15 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/us
naval     4074  3990  0 May15 ?        00:00:00 /usr/lib/ibus/ibus-dconf
naval     4075  3990  0 May15 ?        00:00:03 /usr/lib/ibus/ibus-ui-gtk3
naval     4079  3851  0 May15 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-da
naval     4095  3990  0 May15 ?        00:00:01 /usr/lib/ibus/ibus-engine-simple
naval     4122  3851  0 May15 ?        00:00:09 /usr/lib/unity-settings-daemon/u
naval     4126  3851  0 May15 ?        00:00:06 /usr/lib/i386-linux-gnu/hud/hud-
naval     4133  3851  0 May15 ?        00:00:01 gnome-session --session=ubuntu
naval     4138  3851  0 May15 ?        00:00:15 /usr/lib/unity/unity-panel-servi
naval     4205  3851  0 May15 ?        00:00:01 /usr/lib/i386-linux-gnu/indicato
naval     4207  3851  0 May15 ?        00:00:00 /usr/lib/i386-linux-gnu/indicato
naval     4210  3851  0 May15 ?        00:00:00 /usr/lib/i386-linux-gnu/indicato
naval     4212  3851  0 May15 ?        00:00:00 /usr/lib/i386-linux-gnu/indicato
naval     4216  3851  0 May15 ?        00:00:08 /usr/lib/i386-linux-gnu/indicato
naval     4217  3851  0 May15 ?        00:00:00 /usr/lib/i386-linux-gnu/indicato
naval     4220  3851  0 May15 ?        00:00:02 /usr/lib/i386-linux-gnu/indicato
naval     4232  3851  0 May15 ?        00:00:01 /usr/bin/pulseaudio --start --lo
naval     4240  3851  0 May15 ?        00:00:22 /usr/lib/i386-linux-gnu/notify-o
naval     4244  3851  0 May15 ?        00:00:01 /usr/lib/i386-linux-gnu/indicato
naval     4245  3851  0 May15 ?        00:00:01 /usr/lib/i386-linux-gnu/indicato
naval     4280  3851  0 May15 ?        00:00:00 /usr/lib/evolution/evolution-sou
naval     4304  4133  0 May15 ?        00:15:32 compiz
naval     4315  3851  0 May15 ?        00:00:05 /usr/lib/evolution/evolution-cal
naval     4316  4133  0 May15 ?        00:00:29 nautilus -n
naval     4320  4133  0 May15 ?        00:00:06 nm-applet
naval     4322  3851  0 May15 ?        00:03:37 /usr/bin/vmtoolsd -n vmusr
naval     4323  4133  0 May15 ?        00:00:01 /usr/lib/unity-settings-daemon/u
naval     4328  4133  0 May15 ?        00:00:01 /usr/lib/policykit-1-gnome/polki
naval     4339  3851  0 May15 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volum
root      4353     1  0 May15 ?        00:00:00 /usr/lib/udisks2/udisksd --no-de
naval     4365  3851  0 May15 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-mo
naval     4369  3851  0 May15 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volum
naval     4375  3851  0 May15 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-mo
naval     4381  3851  0 May15 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawn
naval     4387  3851  0 May15 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spaw
naval     4403  3851  0 May15 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
naval     4430  4133  0 May15 ?        00:00:01 telepathy-indicator
naval     4437  3851  0 May15 ?        00:00:03 /usr/lib/telepathy/mission-contr
naval     4450  4133  0 May15 ?        00:00:04 zeitgeist-datahub
naval     4455  3851  0 May15 ?        00:00:03 /usr/bin/zeitgeist-daemon
naval     4462  3851  0 May15 ?        00:00:06 /usr/lib/i386-linux-gnu/zeitgeis
naval     4472  4462  0 May15 ?        00:00:00 /bin/cat
naval     4488  4133  0 May15 ?        00:00:04 update-notifier
naval     4536  4133  0 May15 ?        00:00:09 /usr/lib/i386-linux-gnu/deja-dup
naval     5138  3851  3 May16 ?        00:56:20 /usr/lib/firefox/firefox
naval     5236  3851  0 May16 ?        00:00:05 /usr/lib/i386-linux-gnu/unity-sc
naval     5251  3851  0 May16 ?        00:00:08 /usr/bin/unity-scope-loader appl
naval     5255  3851  0 May16 ?        00:00:00 /usr/lib/i386-linux-gnu/unity-le
naval     5257  3851  0 May16 ?        00:00:02 /usr/lib/i386-linux-gnu/unity-le
naval     5313  3851  0 May16 ?        00:00:02 /usr/lib/gvfs/gvfsd-http --spawn
naval     5384  3851  0 May16 ?        00:00:32 gnome-terminal
naval     5391  5384  0 May16 ?        00:00:00 gnome-pty-helper
naval     5392  5384  0 May16 pts/0    00:00:02 bash
naval     5551  5384  0 May16 pts/9    00:00:00 bash
root     11169     1  0 May16 ?        00:00:00 /usr/sbin/cupsd -f
lp       11172 11169  0 May16 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus
root     12068     1  0 May16 ?        00:00:00 /usr/sbin/sshd -D
root     16641     1  0 May16 ?        00:00:00 upstart-udev-bridge --daemon
root     16644     1  0 May16 ?        00:00:00 /lib/systemd/systemd-udevd --dae
root     16717     1  0 May16 ?        00:00:00 /lib/systemd/systemd-logind
root     18603     2  0 10:00 ?        00:00:00 [kworker/u16:1]
root     18925   748  0 10:03 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/N
root     19193     2  0 10:17 ?        00:00:00 [kworker/u16:0]
root     19199     2  0 10:17 ?        00:00:00 [kworker/0:2]
root     19325     2  0 10:32 ?        00:00:00 [kworker/0:0]
root     19432     2  0 10:34 ?        00:00:00 [kworker/u16:2]
root     19562     2  0 10:46 ?        00:00:00 [kworker/0:1]
root     19669 12068  0 10:47 ?        00:00:00 sshd: naval [priv]  
naval    19706 19669  0 10:47 ?        00:00:00 sshd: naval@pts/23  
naval    19707 19706  0 10:47 pts/23   00:00:00 -bash
naval    19721 19707  0 10:47 pts/23   00:00:00 ps -ef
naval@ubuntu:~$ 
naval@ubuntu:~$  
naval@ubuntu:~$  exit
logout
